"","V1","V2"
"837",68,0.2140288983
"838",27,0.5722679881
"839",51,0.2075512468
"840",19,0.2366137622
"841",51,0.1366929482
"842",21,0.2695815494
"843",27,0.2524472534
"844",43,0.2158123958
"845",26,0.2113237306
"846",89,0.2052482235
"847",88,0.2257461653
"848",27,0.486546294
"849",88,0.308725729
"850",79,0.2409919641
"851",21,0.2256020855
"852",13,0.1607426885
"853",9,0.1283784659
"854",19,0.2306793524
"855",27,0.3658791439
"856",27,0.2970322464
"857",27,0.2523324629
"858",89,0.2035010812
"859",24,0.2137508849
"860",21,0.31183957
"861",71,0.2185185929
"862",88,0.2065287857
"863",71,0.1931801397
"864",52,0.5437945624
"865",8,0.3772459939
"866",43,0.2045523179
"867",8,0.4113344409
"868",69,0.3602224185
"869",52,0.4424592058
"870",26,0.3004846718
"871",52,0.2429133589
"872",57,0.1929207311
"873",52,0.2693743833
"874",33,0.2106230688
"875",8,0.4177203718
"876",52,0.219590903
"877",89,0.1966383541
"878",62,0.1609156209
"879",8,0.3702591442
"880",69,0.1878572961
"881",52,0.3914189801
"882",52,0.2645807194
"883",52,0.4534450537
"884",67,0.5874659849
"885",52,0.2087653562
"886",8,0.2133538298
"887",52,0.4333798483
"888",61,0.3853069123
"889",57,0.1929207311
"890",8,0.2985733657
"891",72,0.2684601727
"892",69,0.1509898728
"893",52,0.2375485927
"894",8,0.3683863648
"895",52,0.3867652925
"896",57,0.3160573668
"897",52,0.497879078
"898",72,0.5442112622
"899",8,0.413239831
"900",52,0.3541974373
"901",8,0.3603214541
"902",52,0.3255377683
"903",55,0.1861377104
"904",72,0.2403772944
"905",8,0.3084212901
"906",65,0.351977681
"907",52,0.4323513971
"908",52,0.2902033447
"909",60,0.4247249276
"910",57,0.1929207311
"911",2,0.1967876045
"912",52,0.4443590302
"913",52,0.4371598756
"914",8,0.3414537544
"915",52,0.4891538141
"916",61,0.2988746471
"917",34,0.3519421472
"918",8,0.642666278
"919",8,0.3285846001
"920",52,0.5641688223
"921",52,0.2087653562
"922",52,0.2215443754
"923",72,0.3609331285
"924",26,0.281116412
"925",52,0.2675482354
"926",94,0.3085595302
"927",52,0.3842519185
"928",8,0.3519374941
"929",8,0.4649312866
"930",69,0.3513750662
"931",69,0.3143026062
"932",8,0.5085687738
"933",52,0.3038621055
"934",8,0.2975863103
"935",52,0.3620849724
"936",52,0.4108197942
"937",52,0.4290959899
"938",57,0.1929207311
"939",8,0.3190976068
"940",57,0.4889178269
"941",8,0.4803973114
"942",57,0.1929207311
"943",52,0.337306591
"944",66,0.1884667448
"945",8,0.4340199664
"946",52,0.3398777144
"947",8,0.30907131
"948",52,0.4122498353
"949",52,0.3601273036
"950",52,0.3999364897
"951",26,0.254490381
"952",52,0.6309219181
"953",52,0.5180959243
"954",8,0.3279177963
"955",40,0.4785902295
"956",8,0.2576074663
"957",71,0.2923005332
"958",57,0.1929207311
"959",34,0.3619931073
"960",52,0.2895680059
"961",52,0.2379425719
"962",52,0.5386109891
"963",8,0.4836282006
"964",8,0.3231887802
"965",52,0.545310544
"966",52,0.5321983295
"967",26,0.227684761
"968",75,0.4211322586
"969",8,0.2940929621
"970",8,0.3255853376
"971",52,0.5492116382
"972",8,0.301693142
"973",52,0.3466147981
"974",52,0.3836094247
"975",68,0.2896585308
"976",52,0.4084323887
"977",8,0.3579685471
"978",52,0.4653651781
"979",52,0.3622137143
"980",8,0.3454251415
"981",52,0.4225663218
"982",52,0.4561841132
"983",8,0.3261680604
"984",52,0.3706012462
"985",8,0.3229752921
"986",52,0.7507684065
"987",52,0.2825103952
"988",8,0.4292233142
"989",8,0.5275667531
"990",52,0.4634147173
"991",26,0.3078787498
"992",52,0.4314485891
"993",52,0.2856975081
"994",52,0.5675297856
"995",52,0.4359176507
"996",52,0.3848710123
"997",52,0.5180959243
"998",8,0.3570513633
"999",8,0.2550399279
"1000",8,0.3386038762
"1001",8,0.4200619467
"1002",57,0.1929207311
"1003",8,0.3431901661
"1004",41,0.1426482629
"1005",26,0.2924142675
"1006",52,0.2656720527
"1007",69,0.1915759088
"1008",52,0.418177005
"1009",52,0.2638184159
"1010",67,0.3536665095
"1011",52,0.2491546174
"1012",8,0.3849880719
"1013",52,0.4826283146
"1014",52,0.3744055715
"1015",8,0.4302376386
"1016",52,0.5460024371
"1017",52,0.2775893726
"1018",8,0.2599843021
"1019",72,0.2591677965
"1020",52,0.5439344261
"1021",52,0.468514986
"1022",8,0.392047411
"1023",52,0.3162401425
"1024",52,0.5062066894
"1025",52,0.4485826915
"1026",8,0.3114754829
"1027",52,0.5019087145
"1028",52,0.4045993304
"1029",8,0.3045930603
"1030",26,0.1943793968
"1031",52,0.2491065003
"1032",8,0.4923039125
"1033",57,0.1929207311
"1034",52,0.5135026945
"1035",52,0.5337370257
"1036",16,0.1570961122
"1037",52,0.3939895203
"1038",52,0.3900421361
"1039",52,0.2510406544
"1040",52,0.4266929992
"1041",52,0.374443447
"1042",52,0.4404323068
"1043",72,0.2090515006
"1044",52,0.4409812699
"1045",52,0.6102798189
"1046",91,0.3157675258
"1047",52,0.2926626933
"1048",52,0.3674419297
"1049",26,0.2258928175
"1050",24,0.4605433817
"1051",8,0.2459260472
"1052",52,0.4250232284
"1053",52,0.374443447
"1054",52,0.5108831593
"1055",52,0.4898504537
"1056",52,0.3386236359
"1057",52,0.3922294927
"1058",52,0.3778107799
"1059",52,0.4461255574
"1060",52,0.4201569538
"1061",60,0.21257781
"1062",26,0.3161653994
"1063",52,0.2523614286
"1064",52,0.4013705334
"1065",52,0.4047854562
"1066",57,0.1929207311
"1067",52,0.5103369729
"1068",8,0.3440198988
"1069",52,0.4753450307
"1070",52,0.4689740449
"1071",52,0.19638057
"1072",52,0.3664787681
"1073",52,0.4901662593
"1074",8,0.5018675496
"1075",8,0.4499062935
"1076",69,0.1890462459
"1077",52,0.2339215022
"1078",73,0.167750534
"1079",55,0.206058287
"1080",73,0.2975900965
"1081",69,0.2238757148
"1082",74,0.2500698492
"1083",26,0.2537876865
"1084",65,0.4722090869
"1085",13,0.238683948
"1086",8,0.4171340742
"1087",95,0.1993736205
"1088",18,0.1950797455
"1089",69,0.3455450883
"1090",69,0.1549805386
"1091",41,0.2658913265
"1092",13,0.149145478
"1093",2,0.2577521096
"1094",62,0.2575102945
"1095",40,0.2274469656
"1096",8,0.4445874142
"1097",52,0.251489028
"1098",8,0.2268886737
"1099",8,0.4252987339
"1100",86,0.227819447
"1101",8,0.5412715066
"1102",86,0.2648963055
"1103",57,0.1929207311
"1104",52,0.2196654693
"1105",55,0.2420689515
"1106",50,0.2389596816
"1107",59,0.3518232454
"1108",43,0.1539326973
"1109",55,0.312366325
"1110",50,0.2362185957
"1111",8,0.2361917422
"1112",48,0.135537883
"1113",100,0.1663420942
"1114",73,0.2710967081
"1115",62,0.4095884471
"1116",86,0.2440252953
"1117",58,0.1918432316
"1118",62,0.263019428
"1119",55,0.2312089068
"1120",69,0.2164583578
"1121",6,0.2356123025
"1122",73,0.1912440846
"1123",75,0.5594591913
"1124",8,0.524203685
"1125",13,0.164728334
"1126",2,0.3279014762
"1127",6,0.2927093296
"1128",96,0.2074418365
"1129",87,0.2280552166
"1130",73,0.2603520557
"1131",61,0.3630853534
"1132",69,0.2127747393
"1133",26,0.1802368815
"1134",40,0.1368977083
"1135",62,0.1938140823
"1136",24,0.2876538649
"1137",57,0.1929207311
"1138",50,0.2112256788
"1139",8,0.2904222593
"1140",8,0.2986221265
"1141",8,0.3643561056
"1142",73,0.3057998752
"1143",8,0.2133720103
"1144",55,0.1639954468
"1145",6,0.1260283244
"1146",8,0.3981140957
"1147",68,0.1078361532
"1148",8,0.255767611
"1149",41,0.3663737705
"1150",56,0.161768924
"1151",62,0.2619978754
"1152",41,0.2494768841
"1153",8,0.4154565736
"1154",40,0.3239111623
"1155",76,0.2553793882
"1156",8,0.3289831293
"1157",76,0.1992954543
"1158",8,0.322469887
